run,  run_length, dqm_ctag_inst, subruns, nearline_ctag_total
24982 0.0604398148134 443.398850575 496 31940936.2797
24983 0.0614467592677 413.135445978 496 31750016.9524
24984 0.0622106480878 380.590554787 496 23985275.6211
24985 0.0579745370196 401.93359 495 31279777.3469
24986 0.0554513888201 497.275 495 35763374.0506
24987 0.0495254629059 284.624027778 380 23707451.5152
24988 0.0470370369731 194.8032045 349 10263289.7677
24995 0.0608912036987 414.040804598 495 28837391.5116
24997 0.0616898147855 424.661797753 496 32155958.4561
24998 0.0590162037406 465.131764706 496 32320054.4
24999 0.0592939815251 463.624705882 495 32309068.4536
25000 0.0585532407276 388.291473624 495 27356277.4138
25001 0.0429050925886 496.079032258 383 26577565.9717
25002 0.00653935177252 506.222222222 59 3993651.0
25003 0.0558333332883 476.19671675 495 34074425.0
25004 0.061921296292 378.7026804 496 26639529.9459
25006 0.0593749999534 448.564155116 495 33497733.3962
25007 0.0613773148507 428.337078652 495 30076026.2234
25008 0.0282986110542 450.3375 229 14479911.3784
25009 0.0610879629385 442.181931818 495 31667726.7123
25012 0.00726851844229 445.209090909 59 3883337.85714
25014 0.00146990735084 452.55 12 746393.0
25017 0.0302662038011 393.576590909 240 15094409.6
25019 0.0623379629105 382.923639 494 32315663.6768
25020 0.0215277777752 463.75483871 188 13413898.4762
25021 0.0325578703778 353.478606809 260 14726012.3636
25022 0.0612615740392 433.136363636 495 31258650.7895
25023 0.0332523148973 451.102083333 269 18044207.2875
25024 0.0552430554526 424.235750759 445 26754221.5385
25025 0.0614004629897 441.897191011 495 32159981.0714
25026 0.0601273148786 435.39732093 495 33510082.2816
25027 0.0611226852052 454.146590909 495 32578023.1188
25028 0.0615856481018 438.688402273 495 32809250.8333
25029 0.061944444431 406.936867416 495 29546784.1216
25030 0.0500694443472 471.794444444 420 29983714.5133
25031 0.0603356481297 462.886206897 495 34769149.7283
25032 0.0336574073881 294.097122449 218 14614484.902
25033 0.0608564815484 448.359090909 495 34181698.4043
25034 0.0609259259654 438.419247159 496 34333420.766
25035 0.0168402778218 455.454166667 137 9925881.1875
25036 0.0583217592211 480.513095238 495 34559827.5
25037 0.0529282407369 452.497402597 429 28365861.3333
25038 0.0587962963618 466.989411765 495 33588375.4412
25039 0.0603124999907 445.603691954 495 34078554.5833
25040 0.0606712963199 447.616774659 495 32430965.0562
25041 0.0414467592491 460.633389831 343 22151521.1944
25043 0.0604282408021 452.985862069 495 31141750.0
25044 0.0622106482042 402.221365256 496 31634312.4615
25655 0.0629976851633 337.871428571 495 24567390.0
25656 0.0620023148367 343.826966292 495 26823472.5
25657 0.00391203712206 353.616666667 32 1730407.0
25658 0.0634027777705 334.458241758 495 25209840.5685
25659 0.0106134258676 322.32 82 3978166.22222
25890 0.0235879629618 468.05 209 13728697.4
25891 0.0604513888247 413.709885057 495 30262703.7209
25892 0.0442824074998 421.2546875 359 21659182.3906
25893 0.0091666666558 403.1 72 4239188.12903
